# MANUAL TRUE POSITIVE CITATION MATCHES
# Format: failing_key|correct_valid_key
# These pairs will be explicitly ACCEPTED by the resolution script.
# Use this to force a specific match even if the score is low or ambiguous.

12PrinciplesGood|12Principles2008
StatisticsActBE25502007|nepalStatisticsAct2007
SummaryUnionBudget2023|indiaSummaryUnion2023
SurveyActEnglish2002|srilankaSurveyAct2002
TableRTICDecisions2020|TableRTIC2020
TransStratFrameworkPK2023|undpPromotingInclusion2023
TransparencyInternationalSri2017|TransparencyInternational2017
abrahamFreeOpenSource2016|abrahamFreeOpen2016
agarwalIndiaMustMore2015|agarwalIndiaMust2015
attaaGoogleLaunches2015|attaaGoogleLaunches2015
departmentofcommerceusaSriLankaCountry|departmentofcommerceusaSriLanka
departmentofelectronics&informationtechnologyPolicyCollaborativeApplication2015|deitPolicyCollaborative2015
departmentofinformationtechnologyPolicyOpenStandards2010|departmentofinformationtechnologyPolicyOpen2010
deyIndiaOpenGovernment2013|deyIndiaOpen2013
digitalgovernmentdevelopmentagencyEbookInitial2023|digitalgovernmentdevelopmentagencyEbookGuidelines2023
electronicgovernmentagencyGovernmentWebsiteStandard2012|electronicgovernmentagencyGovernmentWebsite2012
fernandoNewDigitalTransformation2024|fernandoNewDigital2024
govpayPayTrafficFines|govpayPayTraffic
gunatillekeRightsbasedApproachLimitation2016|gunatillekeRightsbasedApproach2016
hariharanOpenStandardsPolicy2010|hariharanOpenStandards2010
ictaPublicConsultationCall|ictaPublicConsultation2025
ictasrilankaNationalDataSharing2013|ictaDraftDataSharingPolicy2013
informationandcommunicationtechnologyagencyofsrilankaGovernmentCloud2022|ictaGovernmentCloud2022
informationandcommunicationtechnologyofsrilankaictaSriLanka2022|ictaFOSSAdoption2022
informationandcommunicationtechnologyofsrilankaictaSriLanka2023|ictaEnterpriseArchitecture2023
informationandcommunicationtechnologyofsrilankaictaSriLankaGovernment2015|ictaClassificationFramework2015
iqbalPreventionElectronicCrimes2023a|iqbalPreventionElectronic2023
krishnaswamyFreeOpenSource2012|krishnaswamyFreeOpen2012
lboOnlineSafetyAct2024|lboOnlineSafety2024
loneyIndiaSharesOpensource2004|loneyIndiaShares2004
matthanIndiasApproachData2022|matthanIndiasApproach2022
ministryofelectronicsandinformationtechnologyOpenGovernmentData2022|meitOpenGovernment2022
narasimhanAccessibilityGovernmentWebsites2012|narasimhanAccessibilityGovernment2012
natesanBreakingBarriersWomen2025|natesanBreakingBarriers2025
natesanEfficientReportingMechanisms2022|natesanEfficientReporting2022
natesanProposedDataProtection2021|natesanProposedData2021
nationalinformaticscentreGuidelinesIndianGovernment2023|nationalinformaticscentreGuidelinesIndian2023
nationalintelligenceagencyNIA|NationalIntelligenceAgency
nationalstatisticalofficeNSO|nationalstatisticalofficeNationalStatistical2023
nectecThailand|nectecThailand
nepalTelecommunicationsAct1993|nepalTelecommunicationsAct1993
panjiarComparisonStatelevelData2022|panjiarComparisonStatelevel2022
parkSouthKoreaData2021|parkSouthKorea2021
parliamentofthedemocraticsocialistrepublicofsrilankaComputerInformationTechnology1984|srilankaComputerInformation1984
parliamentofthedemocraticsocialistrepublicofsrilankaInformationCommunicationTechnology2003|srilankaICTAct2003
parliamentofthedemocraticsocialistrepublicofsrilankaOnlineSafetyAmendment2024|srilankaOnlineSafetyBill2024
philippinesIdentification|philippinesIdentification SystemsAct2018
policyreviewcommitteeEgovernmentPolicyDraft2014|policyreviewcommitteeEgovernmentPolicies2014
presidentialsecretariatStrategicApproachDigitize2024|presidentialsecretariatStrategicApproach2024
rajapakseCommentsCyberSecurity2023|rajapakseCommentsCyber2023
republicofsingaporeSriLankaSingapore2018|SriLanka2018
royalgazetteAnnouncementPersonalData2023|thailandAnnouncementPDPC2023
royalthaigovernmentNationalStrategy20182037|nationalstrategysecretariatofficeNationalStrategy
ruangchaweeAnnouncementDigitalGovernment2023a|ruangchaweeFormulatingStandards2023
ruangchaweeAnnouncementDigitalGovernment2023|ruangchaweeCriteriaStandards2023
samarajivaDigitalisationWillFail24|samarajivaDigitalisationWill2024
sipaTechnology2016|SIPATechnology2016
slemrodHowTaxpayersRespond|slemrodHowTaxpayers2022
sooriyagodaSpeakersActCertifying2024|sooriyagodaSpeakersAct2024
srilankaBankingActDirections2021|srilankaBankingAct2021
srilankaPersonalDataProtection2022|srilankaPersonalData2022
srilankacertInformationAndCyberSecurity2023|srilankacertInformationAndCyber2023
surveydepartmentofsrilankaDepartmentSurveyRegulations2020|srilankaDepartmentSurvey2020
swajatiKajianKebijakanDan2021|swajatiKajianKebijakan2021
undpCountryProgrammeDocument2017|undpCountryProgramme2017
undpReviewLegislationConistency2022|undpReviewLegislation2022
unitednationsGearingEgovernmentSupport2018|unEgovernmentSurvey2018
veriteresearchProactiveDisclosureRTI2023|veriteresearchProactiveDisclosure2023
walpolaImplementationPersonalData2024|walpolaImplementationPersonal2024
wrightOpenGovernmentData2010|wrightOpenGovernment2010
yasudaLawDevelopmentSoutheast2002|yasudaLawDevelopment2003
